"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10872","@Web Select DropDown","","2026-05-29","passed","2026-05-29","","SelectDropDown.spec.js","",""
"","2110","@Web Test1","","2026-05-29","passed","2026-05-29","","ParallelTestRun.spec.js","",""
